question,answer,llm_prediction
"I found out today that my wife is cheating on me. I love her, but she won’t tell the truth even when I have proof. When I beg her to tell the truth, she yells, cusses, and gets a huge attitude.","Hi Prattville, I'm sorry this is happening to you. You need support right now, and yes, you need answers. She is in denial and is trying to hide the truth, to protect herself. This is a natural behaviour. You don't indicate whether she wants the marriage, or is planning to leave. Which way you go from here depends in part on the answer to that question. If she wants the marriage, you certainly have the right to say ""I need answers to all my questions"". Giving you the information she needs has to be (if she wants the marriage) more important than protecting herself. I would support your right to advocate for all the information you need in order to feel secure or make decisions. She may fear that the truth will turn you away. If you want to, you can reassure her that you want the marriage no matter what the truth is. If the marriage is to survive, it needs openness.If, on the other hand, she's planning to end the marriage, then you might want to resign yourself to the fact that you may never get the information you seek. You are better off, in that case, seeking support from friends and family rather than beating on a closed door. Your wife has some decisions to make. Try to give her a bit of time to make them. You can patiently say ""I know this thing is happening. Talk to me so we can deal with it together. I want to move forward but I need the truth."" Only time (and a good therapist, if she is willing and wants the marriage) will tell which way this one will go. Individually, you can seek professional help as well.","The amount of stress you have and the thought of having to go to court is terrible.  If your wife does not want to continue the affair and wants to work to get your marriage back to where it was, then maybe it is the right time for you to discuss your options with a mediator. It might seem like a large amount of money to spend, but the fact that you are getting help with this situation to try and get back together is the most important thing.  If you don't talk to your wife, you could end up with no respect for yourself for not communicating and a bad marriage. It's also worth considering how your wife would feel if she knew you would go through with it."
"My coworkers are making false statements about me to the boss, saying I have mood swings. They have no proof to back it up. Can my employer make me see a therapist of their choice?","If this is a concern of a few coworkers, make sure it is not something they see but you don't admit to.  Employers can ""suggest"" or something ""stipulate"" in continued employment with them  for you to go to their Employment Assistance Provider (EAP) if they have noticed the same behavior and concerned of how it is effecting productivity or employee relationships.  No one wants to work in a environment which they consider hostile.  Employers can be held responsible if they do not take action.Couple of things you can do...Ask a coworker in which you trust and respect if what others are saying is true?Seek professional help from your primary care provider or counselor if mood swings do exist.","I can't help you with your question, because I do not have the legal expertise to answer questions that question legal rights and/or conflicts of interest. It's best for you to consult an attorney."
"My boyfriend is in Ireland for 11 days, and I am an emotional wreck.","It sounds like you and your boyfriend are very close.  Do you typically spend most of your time together?  If so, it may be important to reflect on how you feel when you are apart.  If any separation is difficult, you may need to examine why.  Think about what it is that you miss and what you are anxious, upset or worried about.  If you examine the causes of your distress you likely will experience some relief.   It is important to learn how to be happy when you are alone, it will only improve the way you feel when you are with your boyfriend.","Sounds like your emotional state has taken the floor - 11 days seems like an unusually long time. The idea of being so emotionally wrecked for so long in a place where you are alone seems very odd.  It may seem like you are experiencing some weird anxiety. This is something to research, and talk to a professional about. Here's what I would suggest.  First, be honest with yourself about who is causing you pain. You need to figure out in order to figure out this whole situation.  Second, talk to your boyfriend about the fact that he is out of your sight and that his behaviour has changed (I read an article about the fact that it's quite common for relationship issues to arise after the first year or two of a relationship. The fact this is happening is a good sign). Finally, take care of yourself during this time. Take a few minutes each day to breathe and see the good that you have.  It may not be enough, but the idea that you have some to the relationship's value, is a good thing."
"When my daughter is stressed about a silly thing from school, she starts crying and freaking out. She is a bright student, always has a 4.0, but I am afraid she is stressing too much. I’m afraid it’s going to break her. I don't know if I should get her to a doctor or someone because this is not normal.","Watching children go through challenges in their lives is difficult. On a very basic level, There exists a primal need to protect them from harm. The hard part for parents is letting them feel those challenges and working through them as they get older. At some point, there is a moment that occurs when the role as a parent shifts. Children no longer need the basics (food, shelter. water, safety) as much as when they were toddlers, but rather, their needs shift to wanting more support, encouragement, advice, and room to make mistakes. This is where the ability to communicate with them, letting them direct the sails to gather the wind needed to move, is so important. Keep the lines of communication open and be available to give feedback when they ask for it.",You are right; it would be good for your daughter to receive a medical check and to talk with a school counselor. The fact that she is crying or feeling overwhelmed shows that something might be going on that needs further exploration. The anxiety that her teacher is going to be able to help her find the right therapist is a good start too.  Ask your daughter to tell you if the teacher can help her to feel better. You can even bring her to the school with you; she may know someone who could assist her.
"It was over 20 years ago, but the pain has resurfaced again now because I have started seeing her Facebook posts about how great her life is. I feel so angry. How can I handle this?","Emotional pain is different from physical pain that way, isn't it? Even many years later, an old wound can be ripped open again by a small trigger.You were betrayed by two people close to you. That's a complex injury. I don't know whether you're still in the marriage or not, or whether your sister is still in your life. Perhaps not, as your contact with her seems to be through watching her facebook activity. I'm curious about why you're just now seeing her facebook posts again. Are you feeling more open lately to seeing how she's doing in her life? I guess if you were open to having your sister even in the periphery of your life again, you will have to figure out how to handle those triggers. If you can't, maybe consider unfollowing her or detaching from facebook for a while. So your sister is happy, or she at least appears happy. Your mind might go to some unhelpful places, like ""She doesn't regret the affair"" (you don't know that), ""She doesn't deserve happiness"" (that would be a harsh judgement), or ""She doesn't care that I'm hurt"" (again, there's no evidence of that). Where does your mind go? It's important to identify your worst thoughts in connection to her. When you have those worst thoughts identified, ask yourself ""What evidence supports that thought as truth?"" It's likely that either there's no evidence, or that the truth is so far from you that you can't know what she's feeling or thinking, which makes having those thoughts pretty futile.A therapist can help you determine what emotions are being triggered here. It doesn't help you and your happiness to carry around resentment, ill wishes, or the need for revenge. Forgiveness is not about saying that something was ""okay"". It's about saying ""It happened. I accept that I can't change it, and I don't want to carry the emotional burden around all the time"". Forgiveness is putting it down. She... (trust me this is true)...she carries her own burden of shame for what she did. For you to spend time feeling angry doesn't affect her burden. It only adds to yours. Can you find the tender emotion under your anger? You're hurt. Validate that hurt. Honour that hurt. Take care of that hurt. You can stay away from people who disregard your needs, and you have the power to forgive those who make mistakes out of their simple humanity if you want them in your life. If you continue to struggle, please seek the help of a professional who can assist you in navigating these waters. :)","Hi there!  How lovely to hear you enjoy looking at her Facebook posts about how great her life is. Your feelings are entirely valid I feel very similar with when I have been seeing her posts of her's for a long time. I wonder if it is because, through the process of looking at her's posts about life, she has learned to like to think about the best of life to help other people be better off. It feels good when you are happy and feel satisfied that you have created a good life for yourself. I wonder if you have become resentful towards her and her life. A lot of these things, I'm sure, would be easier to live with when we all have different life experiences. If I'm honest and it has been the same way for you, there are a lot of things to consider when you're feeling resentment towards someone.  It is one thing to look at her and see her life and another thing to feel resentful towards her for having the good life you have. I wonder whether you were expecting her to be the person you want her to be?  I would strongly suggest you reach out to her directly as to what she may or may not feel about how you are feeling in a respectful way.  You want to avoid getting emotional, you want to listen to her answer, but you want to understand whether this is what she is comfortable with.  Maybe you are angry because you feel like you're the only one who cares as much about her happiness as you do, as well as she is very busy with all sorts of things. Maybe this is just part of the process.  It may come with time.   I want to stress that, if you aren't in touch with her, there may be reasons that she hasn't been able to keep in touch with you.  It is very possible that she may not have been the best person to share the positive updates with."
"I start to think of an issue that doesn't even matter or something bad that happened years ago. Then, I cry, pull at my hair, plug my ears, hit myself, and throw things. In loud public places, I get on edge and start being sarcastic and moody. I have an awful fear of people leaving me (which normally ends up happening) and I feel like I'm too clingy.","There is a reason you are having breakdowns. I can't agree that they happen for ""no reason at all"".   Finding out the reason is going to be your biggest challenge because that may require you to dig deep into your past, uncover hurtful experiences, or recognize something that would be extremely pain.  However, if you don't find professional help to carefully guide you through whatever you may confront, the symptoms mentioned will continue and may even get worse.  There is a light at the end of the road but you need some help to find the right road to get on so you can see it.","When you are doing something like this that you've tried for a long time with no results. The people that your behaviour shows are indicative of an underlying issue: An intense fear of abandonment. (See if you can do some research into this) Often it comes down to old scars from childhood experiences, like having a parent give a lot of reasons for their relationship ending up failing. The more you allow yourself to experience those old scars, the more likely the emotions for anxiety and depression become. This could involve lots of feelings of hurt.  These feelings are natural, but if they’re ignored and allowed to linger, they can become very, very powerful.  If you're worried about the potential harm that you may be causing in the long term, it's wise to seek the help of someone experienced in working with someone who has been traumatized.   The goal of the work is to deal with this kind of fear in a healthier way.&#x20;If you want to find out about healthy ways of managing the anger and sadness that you are feeling as a result of this fear of being left, here are some places you can look to get some information on the internet :  1   <https://www.facebook.com/groups/1562996138323487/> <https://www.youtube.com/watch?v=4eT242tXJvQ>   2   <https://www.theguardian.com/money/2017/nov/17/can-we-really-trust-anyone >   3   <https://www.mentalhealth.org.uk/treatment-information/anxiety-and-depression>   4   <https://www.mayoclinic.org/diagnosis-treatment/depression/diagnosis/stages/hr/sinfo/repwatch-10359806>   5   <https://www.psychologytoday.com/us/blog/emotional-intelligence/201809/5-signs-you-are-over-trusting-"
"My wife works late most days, so I'm lonely. I love my wife with all my heart, however I don't feel the intimacy we used to have. We don't have sex anymore, which bothers me tremendously. I have become close friends with a coworker, which I know is not helping. Nothing will happen with that, but there’s the thought.","First things first!  Friendships that develop in times of struggle may be a great emotional support, but also become confusing there's sexual attraction. And entertaining a tough is only going to make it a stronger target.  Careful with that friendship! You do not want to fill your marriage's void with another person.  Even when you are in a friend zone and not having intimacy with this person, you may be developing a special bond, sharing interest and activities that may lead to a deeper connection.  Ask yourself how you would feel if your spouse was having a friendship like that.Then try to refocus on your marriage. I suggest being transparent and talking to your wife about your feelings and concerns.  Ask her what you could do to reconnect, make some suggestions and dedicate time to practice them.  Make time in both of your schedules, make an effort to have lunch together, or to text during the day.  Remember that a marriage is like a very good friendship with benefits, but sometimes the responsibility kills the fun.¿Cómo puedo volver a enamorarme de mi esposa?Mi esposa trabaja tarde casi todos los días, la amo con todo mi corazón, pero no siento la intimidad como antes.  Ya no tenemos sexo, lo cual me molesta tremendamente.  Me he acercado a una amistad del trabajo, lo cual no ayuda.  Nada pasara, pero hay pensamientos al respecto.Primero lo primero! Las amistades que se desarrollan en momentos de crisis pueden ser un gran apoyo emocional, pero también pueden convertirse en algo nebuloso cuando hay atracción sexual. Entretener pensamientos al respecto solo lo va a hacer un reto más grande.  ¡Ten cuidado con esa amistad! No quieres llenar el vacío que deja tu matrimonio con esta nueva persona.  Aunque no estés teniendo intimidad con esa persona, puedes estar creando una conexión especial, compartiendo intereses en común y actividades que los unen más aun. Pregúntate como te sentirías si tu esposa tuviera una amistad así.Intenta reenfocarte en tu matrimonio.  Sugiero que seas transparente con tu esposa y le dejes saber tu preocupación y como te sientes con el distanciamiento.  Pregúntale que le gustaría hacer para reconectarse, sugiérele algunas ideas y dediquen tiempo a las mismas.  Hagan tiempo en sus agendas para ustedes, hagan un esfuerzo para almorzar juntos, y comunicarse durante el día, aunque sea con textos.  Recuerda que el matrimonio es como una muy buena amistad con beneficios y muchas veces las responsabilidades matan la diversión.","Hi There! I am glad you and your wife love each other so much! Is it helpful to look at each other and be honest about how you're feeling about the new friendship?  The more you know the feelings and needs of each other, the more you can understand each other's needs. Is one of you feeling very lonely and does this seem like that to you, or more of a general longing for love and connection?"
"My boyfriend shows affection, but I just push him away. Every time my boyfriend tries to kiss, hug, or touch me I almost always push him away. I'm on birth control and it has killed my sex drive.     I love him so much. Why do I do this?","There could be many reasons that you push your boyfriend away. It could be part of how you were raised, it could be because of culture, it could even be your own insecurities about yourself that are then outwardly manifested in you ""pushing"" him away. What is important in all this is that you both find a way to connect. So what if you aren't a hugger, a kisser, or a toucher you have to find what works for the both of you and your relationship. There are many ways to show affection that aren't physical (words of affirmation, giving of time and/or gifts, etc). If your boyfriend wants the physical attention then work on ways that are comfortable for the both of you making sure to start out slow and to work your way up to more physical touching.","I'm so sorry you're experiencing this... the best part is you're on birth control, so that part isn't related to the reason for the issue. Birth control has lowered the sex drive of many women and because of that, you're putting it off, and this does not align with how your brain works. People with lower sex drive often find it hard to have great sex, and when we don't get sexual excitement, our brains are like a broken machine that doesn't work properly. The fact that you push him away at the most intimate moment in this situation, indicates this issue is more than a normal phase of a woman's hormone cycle.  Also, because of the birth control, there may be other things in your life causing you stress and anxiety and pushing you away from this. If that's the case, it may also be helpful to talk to your doctor to see what your body is capable of."
I haven't been feeling like myself lately. I've been upset for no reason and feeling anxious. I'm feeling burnt out. What can help me feel better?,"Does it help to put a name to the experience you are having? Where you first said, ""I've been upset for no reason and feeling anxious,"" you then say that you are ""feeling burnt out,"" which gives a little more context to what may have once felt like ""no reason."" Perhaps you are feeling burnt out! That is a big deal, and please try not to take it lightly! When we get burnt out, I have found that it's from one of two things: either we are not doing what we want, or we are doing too much (either of something we want or something we don't, doesn't really matter once we get into doing too much.)If either of those rings true for your experience, try as much as possible to sit with the experience and get a better sense of where the burn out is coming from. I wrote about burnout for a newsletter and it is on my website. I don't want to do shameless promotion, but I thought it could also add to helping you: https://davidkleintherapy.com/my-experiences-with-burnout/I hope that you can also see that it's not an abnormal experience.","Anxiety and burnout are both serious issues that affect people. When someone is anxious and burned out, it is important to identify any potential underlying causes for these feelings. Sometimes anxiety can come from anxiety itself; by identifying any additional stressors in your life, you may notice that your worry is disproportionate to the problems you are facing. When you feel burnt out, it could be due to job issues, relationship problems, personal issues, or a combination of factors. Once you've identified the possible causes of these two things, you can take steps to help yourself feel better."
"There is just no communication at all between us. She sleeps constantly all day (not at night). She acts angry and unfocused and stays in her very messy room all the time. The only time she comes out is to eat.    She has aches and fatigue, weight gain, hair loss and skin problems. She does not look after her health.
   I don't know how to communicate with her. She is not open to any suggestions. How do I get through to her?","1. She's an adult.2. She lives in your house? She follows your rules.3. What you're describing could be any number of things, but could potentially be a medical issue that needs attention. Thyroid issues, autoimmune diseases - there's a ton of medical possibilities for her symptoms. I'm not a doctor; this is a forum of therapists.4. I recommend the book ""Codependent No More"" which may help you navigate your rocky relationship with your adult daughter. You may be inadvertently making things worse by ""helping"" her which can instead enable her to continue her behaviors. Another book you may find helpful is ""Boundaries: Where you end and I begin"". You cannot control another person, especially an adult. The only person you can control is yourself. Tough love is sometimes needed, and she is an adult - treat her like one. Maybe then she'll act like one. If we were having this conversation in person, you would interrupt me at this point with a ""but..."" and then explain all the reasons why you can't tell her to move out, get a job, get up and cook or clean the house, etc. I already know that you have a myriad of excuses for things being the way they are. Yes, I said excuses instead of reasons, because that's what they are. You may feel stuck and like you have to take care of her, but you have choices - you just may not like them. I know that when children are small, parents' lives are focused around them (some more than others) and decisions are made around what is best for your child. But you said your daughter is an adult. The relationship dynamics must change if the relationship is to be a healthy one. I know how difficult it is to watch your child make life choices that you wouldn't want for them, no matter what that choice may be. As a parent, we want to force them to do what we think is ""the right thing"" but trying to do that only results in frustrations for everyone involved. Whether the issue is a hair color, a tattoo, a lifestyle choice, a job, or choosing not to work or take care of their health, or doing drugs, or drinking - the choice is theirs and theirs alone and so are the consequences of those choices.","I think there may be some medical issues here that need addressing. What you are describing also makes sense to me. Sleep disturbances and exhaustion can cause anxiety and depression, anxiety and depression can cause sleep disturbances and fatigue. Physical symptoms like weight gain and hair loss can feel like they're not linked to something psychological and also feel connected to sleep. So a very bad sleep pattern may be causing anxiety and depression and not being dealt with at all. Also, the physical symptoms suggest she is not taking care of herself! I don't know what causes the physical symptoms but it is most likely related to what she is not taking care of in this moment and right now.I want to encourage you to talk with her about what she is telling you about it!"
